expt_number,ionic_strength,temperature,nominal_pH,P_phosphate,F_TFP_1,F_TFP_2,H_acetate,H_cacodylate,H_formate,H_imidazole_1,H_imidazole_2,H_TFP_3,H_maleate,H_HEPES_1,H_Tris,H_piperazine,H_HEPES_2,H_HEPES_3,H_HEPES_4
356,0.15,298,7,1.724031912,-132.3052819,-125.1338855,1.906789644,1.647778418,8.441369428,8.298191218,7.328819428,6.786831525,6.010105095,3.865811682,3.71833198,missing,missing,missing,missing
359,0.15,310,7,1.698773857,-132.3214623,-125.333047,1.90371715,1.654230655,8.443520174,8.204480158,7.29840174,6.792362013,6.011641342,3.857515949,3.714030489,missing,missing,missing,missing
362,0.15,283,6.75,1.452595312,-132.0397778,-123.706026,1.910476636,1.659453894,8.438911433,8.497903314,7.397028791,6.797585253,6.018708078,3.887011889,3.721404474,missing,missing,missing,missing
365,0.15,298,6.75,1.42859164,-132.0520421,-123.959177,1.907404143,1.67143662,8.441369428,8.399583513,7.36753285,6.806802734,6.02270232,3.879945153,3.722940721,missing,missing,missing,missing
368,0.15,310,6.75,1.40089193,-132.0697666,-124.1706917,1.904331649,1.680039603,8.443827424,8.308637697,7.33803691,6.812025974,6.026082063,3.872263919,3.721404474,missing,missing,missing,missing
371,0.15,283,6.5,0.867511657,-131.6826154,-122.0374983,1.912012884,1.725512511,8.438604184,8.604211599,7.43697121,6.826159445,6.056192502,3.90145261,3.72324797,missing,missing,missing,missing
374,0.15,298,6.5,0.842287158,-131.6721036,-122.2053353,1.909247639,1.743025725,8.441062179,8.546755965,7.423144988,6.836605924,6.066638981,3.89653662,3.727549462,missing,missing,missing,missing
377,0.15,310,6.5,0.817946765,-131.6736933,-122.3528468,1.906482395,1.755008451,8.443694748,8.484384341,7.405017274,6.842750911,6.075241964,3.89162063,3.729700207,missing,missing,missing,missing
380,0.15,283,6.25,0.616631592,-131.5702788,-121.5101727,1.914163629,1.774057913,8.438296935,8.634629288,7.448953935,6.835376926,6.089068186,3.905446852,3.724169718,missing,missing,missing,missing
383,0.15,298,6.25,0.590493514,-131.5451764,-121.6105321,1.911398385,1.792800125,8.441369428,8.595608617,7.4418872,6.847052403,6.103508906,3.901759859,3.729085708,missing,missing,missing,missing
386,0.15,310,6.25,0.566149036,-131.5350275,-121.704227,1.908940389,1.804475601,8.443212925,8.551364706,7.430211723,6.85350464,6.114569884,3.897458368,3.731850953,missing,missing,missing,missing
